iter	Passed	Remaining
0	55	55115
1	92	46328
2	130	43441
3	169	42233
4	208	41560
5	245	40689
6	282	40077
7	320	39708
8	359	39607
9	401	39775
10	448	40323
11	494	40749
12	541	41122
13	591	41669
14	639	42025
15	685	42167
16	730	42240
17	773	42200
18	820	42351
19	865	42417
20	901	42016
21	936	41641
22	973	41361
23	1011	41146
24	1053	41089
25	1092	40943
26	1140	41091
27	1195	41490
28	1247	41755
29	1305	42212
30	1353	42300
31	1392	42109
32	1440	42220
33	1493	42427
34	1545	42606
35	1596	42745
36	1636	42581
37	1671	42320
38	1708	42109
39	1746	41906
40	1784	41751
41	1821	41548
42	1857	41331
43	1895	41173
44	1931	40990
45	1966	40787
46	2003	40626
47	2039	40441
48	2077	40326
49	2112	40139
50	2149	39996
51	2187	39882
52	2223	39726
53	2260	39603
54	2298	39486
55	2335	39374
56	2374	39277
57	2411	39171
58	2448	39055
59	2489	39001
60	2529	38935
61	2570	38895
62	2611	38847
63	2651	38772
64	2692	38737
65	2730	38643
66	2772	38609
67	2809	38502
68	2844	38383
69	2881	38282
70	2916	38161
71	2954	38079
72	2990	37972
73	3027	37881
74	3062	37766
75	3100	37699
76	3138	37617
77	3173	37511
78	3212	37446
79	3246	37329
80	3285	37272
81	3318	37150
82	3354	37055
83	3389	36963
84	3423	36853
85	3459	36766
86	3494	36677
87	3530	36589
88	3564	36486
89	3599	36398
90	3635	36315
91	3671	36235
92	3709	36176
93	3743	36084
94	3782	36034
95	3820	35971
96	3856	35898
97	3892	35823
98	3927	35743
99	3964	35677
100	4002	35623
101	4038	35550
102	4075	35496
103	4113	35441
104	4154	35408
105	4194	35374
106	4231	35317
107	4270	35272
108	4311	35244
109	4347	35172
110	4386	35134
111	4425	35087
112	4465	35049
113	4508	35039
114	4546	34988
115	4587	34963
116	4628	34934
117	4672	34927
118	4711	34884
119	4751	34841
120	4789	34791
121	4827	34742
122	4863	34676
123	4898	34603
124	4935	34545
125	4973	34496
126	5010	34442
127	5047	34384
128	5082	34320
129	5119	34261
130	5156	34202
131	5193	34149
132	5230	34097
133	5266	34037
134	5304	33987
135	5337	33906
136	5372	33843
137	5410	33797
138	5446	33735
139	5481	33673
140	5518	33619
141	5552	33552
142	5591	33511
143	5629	33464
144	5666	33411
145	5702	33353
146	5744	33333
147	5790	33331
148	5836	33332
149	5872	33276
150	5909	33227
151	5945	33168
152	5981	33113
153	6018	33063
154	6055	33011
155	6090	32952
156	6127	32902
157	6161	32837
158	6197	32782
159	6232	32723
160	6267	32658
161	6303	32606
162	6338	32546
163	6373	32490
164	6412	32451
165	6459	32453
166	6501	32430
167	6542	32403
168	6582	32368
169	6620	32322
170	6658	32282
171	6697	32239
172	6735	32197
173	6772	32150
174	6810	32107
175	6844	32045
176	6878	31982
177	6915	31934
178	6953	31892
179	6991	31849
180	7029	31808
181	7063	31748
182	7101	31703
183	7139	31664
184	7175	31611
185	7214	31571
186	7258	31555
187	7306	31556
188	7349	31538
189	7393	31518
190	7440	31514
191	7486	31506
192	7530	31486
193	7576	31477
194	7629	31497
195	7674	31482
196	7713	31441
197	7750	31392
198	7785	31336
199	7820	31282
200	7856	31230
201	7893	31181
202	7926	31121
203	7962	31068
204	7997	31015
205	8033	30964
206	8071	30920
207	8107	30869
208	8143	30819
209	8179	30771
210	8214	30715
211	8251	30671
212	8288	30626
213	8324	30576
214	8360	30524
215	8394	30467
216	8429	30417
217	8466	30370
218	8503	30323
219	8539	30276
220	8577	30233
221	8617	30200
222	8660	30176
223	8700	30140
224	8743	30115
225	8790	30106
226	8826	30058
227	8865	30018
228	8902	29974
229	8941	29933
230	8974	29874
231	9008	29822
232	9043	29770
233	9076	29712
234	9110	29658
235	9150	29621
236	9184	29568
237	9219	29517
238	9254	29468
239	9291	29421
240	9327	29376
241	9362	29324
242	9395	29267
243	9429	29217
244	9463	29164
245	9498	29113
246	9536	29073
247	9571	29023
248	9607	28975
249	9642	28927
250	9676	28876
251	9710	28823
252	9746	28776
253	9781	28728
254	9818	28684
255	9856	28644
256	9892	28598
257	9927	28550
258	9960	28496
259	9996	28451
260	10033	28409
261	10067	28357
262	10104	28317
263	10139	28269
264	10176	28225
265	10211	28178
266	10248	28136
267	10285	28094
268	10320	28046
269	10360	28011
270	10403	27985
271	10444	27954
272	10492	27942
273	10528	27895
274	10565	27853
275	10601	27808
276	10635	27758
277	10673	27721
278	10707	27671
279	10746	27634
280	10785	27597
281	10821	27552
282	10858	27509
283	10895	27469
284	10934	27431
285	10972	27394
286	11012	27359
287	11058	27338
288	11105	27322
289	11147	27291
290	11181	27243
291	11218	27201
292	11257	27164
293	11295	27123
294	11329	27074
295	11363	27026
296	11399	26981
297	11435	26938
298	11470	26891
299	11505	26846
300	11542	26804
301	11577	26758
302	11612	26712
303	11646	26665
304	11680	26616
305	11713	26566
306	11748	26521
307	11784	26476
308	11820	26433
309	11857	26393
310	11892	26347
311	11929	26305
312	11966	26265
313	12003	26223
314	12040	26182
315	12077	26142
316	12114	26101
317	12155	26068
318	12192	26028
319	12235	25999
320	12273	25961
321	12311	25922
322	12352	25891
323	12398	25867
324	12444	25845
325	12495	25834
326	12536	25800
327	12577	25768
328	12621	25741
329	12663	25710
330	12705	25679
331	12750	25654
332	12789	25617
333	12831	25585
334	12874	25556
335	12911	25516
336	12952	25483
337	12989	25440
338	13024	25396
339	13061	25353
340	13097	25310
341	13132	25266
342	13168	25223
